Taxon,TSN,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,TSN_OUT,OTU_BCG_MariNW,OTU_BSTI
Hydatophylax,115995,FALSE,,Hydatophylax,Hydatophylax,115995,Hydatophylax,DNI
Hydatophylax festivus,608819,FALSE,was a Stenophylax but not in western NA,Hydatophylax,Hydatophylax,115995,Hydatophylax,DNI
Hydatophylax hesperus,115998,FALSE,,Hydatophylax,Hydatophylax,115995,Hydatophylax,DNI
Hydra,50845,FALSE,,Hydra,Hydra,50845,Hydra,DNI
Hydracarina,FALSE,FALSE,,DNI,Acari,733321,Acari,DNI
Hydrachna,83123,FALSE,,DNI,Hydrachna,83123,Trombidiformes,DNI
Hydrachnidae,83122,FALSE,,DNI,Hydrachnidae,83122,Trombidiformes,DNI
Hydraena,112757,FALSE,,Hydraenidae,Hydraenidae,112756,Hydraenidae,Hydraenidae
Hydraenidae,112756,FALSE,,Hydraenidae,Hydraenidae,112756,Hydraenidae,Hydraenidae
Hydreanidae,FALSE,FALSE,,Hydraenidae,Hydraenidae,112756,Hydraenidae,Hydraenidae
Hydridae,50844,FALSE,,Hydra,Hydra,50845,Hydra,DNI
