Taxon,TSN,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,TSN_OUT,OTU_BCG_MariNW,OTU_BSTI
Frisonia,103171,FALSE,Single Species in Genus,DNI,Frisonia picticeps,103172,Frisonia picticeps,DNI
Frisonia ,FALSE,FALSE,Trailing space after genus Name,DNI,Frisonia picticeps,103172,Frisonia picticeps,DNI
Frisonia picticeps,103172,FALSE,Single Species in Genus,DNI,Frisonia picticeps,103172,Frisonia picticeps,DNI
Frontipoda,83240,FALSE,,DNI,Frontipoda,83240,Trombidiformes,DNI
Frontipoda americana,83241,FALSE,,DNI,Frontipoda,83240,Trombidiformes,DNI
Galba,-182,FALSE,,Lymnaeidae,Lymnaeidae,76483,Lymnaeidae,Lymnaeidae
Galerucella,114541,TRUE,Leaf beetle terrestrial,DNI,DNI,FALSE,DNI,DNI
Galerucella nymphaeae,114543,TRUE,Leaf beetle terrestrial,DNI,DNI,FALSE,DNI,DNI
Gammaridae,93745,FALSE,,DNI,Gammaridae,93745,Gammaridae,DNI
Gammaridea,93295,FALSE,,DNI,Gammaridea,93295,Gammaridea,DNI
Gammarus,93773,FALSE,,Gammarus,Gammarus,93773,Gammarus,Gammarus
Gammarus lacustris,93789,FALSE,,Gammarus,Gammarus,93773,Gammarus,Gammarus
Gasterosteidae,FALSE,TRUE,Fish,DNI,DNI,FALSE,DNI,DNI
Gastropoda,69459,FALSE,TOO COARSE,DNI,Gastropoda,69459,Gastropoda,DNI
Gelastocoris,103769,TRUE,toad bugs,DNI,DNI,FALSE,DNI,DNI
Georthocladius,128712,FALSE,,DNI,Georthocladius,128712,Georthocladius,DNI
Georyssus,112754,FALSE,,DNI,Georyssus,112754,Georyssus,DNI
Geranomyia,-265,FALSE,genus was subgenu of Limonia,DNI,Limoniidae,-233,Limoniidae,DNI
Gereckea,-188,FALSE,,DNI,Gereckea,-188,Trombidiformes,DNI
Gerridae,103801,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Gerrinae,717532,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Gerris,103829,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
